sentence,entities
"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today  the United States, the Russia (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North South Korea.","[('Russia', 'GPE'), ('Russia', 'GPE'), ('France', 'GPE'), ('China', 'GPE'), ('India', 'GPE'), ('Pakistan', 'GPE'), ('Israel', 'GPE')]"
"156  South Africa developed six crude weapons in the 1980s (which it later dismantled), 157  and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.","[('South Africa', 'GPE'), ('Israel', 'GPE')]"
"The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation, 159  but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.","[('Libya', 'GPE'), ('Iran', 'GPE')]"
"162  The United States and the Russia, which, despite the devastation of its most populated areas, rebuilt quickly, found themselves the world s two dominant superpowers.","[('Russia', 'GPE')]"
"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Russia.","[('Germany', 'GPE'), ('France', 'GPE'), ('Russia', 'GPE')]"
"Japan was also placed under U.S. occupation, that would last seven years, until 1952.","[('Japan', 'GPE')]"
"165  Oddly, these two Axis powers, despite military occupation, soon rose to become the second (Japan) and third (Germany) most powerful economies in the world.","[('Japan', 'GPE'), ('Germany', 'GPE')]"
"The end of empires  decolonization edit 
Michael Somare, the first leader of an independent Papua New Guinea.
","[('Papua New Guinea', 'GPE')]"
"In India, Mahatma Gandhi became a global icon for his non-violent struggle to achieve Indian independence whereas Mohamed Ali Jinnah advocated for the independence of a separate state for Muslims.","[('India', 'GPE')]"
"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People s Republic of Bangladesh in 1971.","[('India', 'GPE'), ('India', 'GPE'), ('Pakistan', 'GPE')]"
"172  173  Elsewhere in Asia, The United States granted independence to the Philippines, its major Pacific possession in 1946.","[('Philippines', 'GPE')]"
"174  In Vietnam, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam. 175 
","[('Vietnam', 'GPE'), ('Laos', 'GPE'), ('Cambodia', 'GPE'), ('Vietnam', 'GPE')]"
"In Africa, nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule.","[('Kenya', 'GPE'), ('Ghana', 'GPE')]"
"Mere decades before, the British Empire controlled almost half of the continent, but by 1968, the only British possession in Africa was Seychelles (which would also become independent in 1976).","[('Seychelles', 'PERSON')]"
"Between 1956 and 1962, almost 20 African countries achieved their independence from France.","[('France', 'GPE')]"
"177  Through the efforts of Am lcar Cabral and others, the Portuguese colonies of Guinea-Bissau, Cape Verde, Angola, Mozambique and S o Tom  and Pr ncipe followed suit and achieved independence during the mid-1970s, in what was to be the last important wave of African decolonization.","[('Guinea-Bissau', 'ORG')]"
"183 

The Cold War (1947 1991) edit 
Post-war territorial changes in Europe and the formation of the Eastern Bloc
Main articles  Cold War and Mutual assured destructionDuring the Yalta Conference, where the Western, capitalist powers, and the communist Russia agreed on separate spheres of influence in Europe, they set up the stage for a geopolitical rivalry that would dominate international relations for the next five decades.","[('Russia', 'GPE')]"
"Indeed, the Russia had already annexed several countries as Soviet Socialist Republics during the war.","[('Russia', 'GPE')]"
"Eastern Poland (incorporated into the Belarus and the Ukraine), 186  Latvia (which became the Latvia), Estonia (which became the Estonia), Lithuania ( which became the Lithuania), 187  part of eastern Finland (which became the Russia) 188  and eastern Romania (part of which became the Moldova) 189  were now wholly part of Russia.","[('Belarus', 'GPE'), ('Ukraine', 'GPE'), ('Latvia', 'GPE'), ('Latvia', 'GPE'), ('Estonia', 'GPE'), ('Estonia', 'GPE'), ('Lithuania', 'GPE'), ('Lithuania', 'GPE'), ('Finland', 'GPE'), ('Russia', 'GPE'), ('Romania', 'GPE'), ('Moldova', 'ORG'), ('Russia', 'GPE')]"
"Furthermore, between 1945 and 1949, Serbia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and Germany saw communist regimes coming to power and their transformation into People s Republics.","[('Serbia', 'GPE'), ('Albania', 'GPE'), ('Bulgaria', 'GPE'), ('Poland', 'GPE'), ('Romania', 'GPE'), ('Czech Republic', 'GPE'), ('Hungary', 'GPE'), ('Germany', 'GPE')]"
"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North South Korea, Cuba and Vietnam.","[('Mongolia', 'GPE'), ('China', 'GPE'), ('Cuba', 'GPE'), ('Vietnam', 'GPE')]"
The spread of the communist ideology in general and the Soviet influence in particular made Western leaders nervous and it even lead to Churchill considering a preemptive attack on the Russia even before World War II was formally ended.,"[('Russia', 'GPE')]"
"The first war was the Korean War, fought between People s Taiwan-backed North South Korea and mainly United States-backed South South Korea.","[('United States', 'GPE')]"
"197  General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion.","[('Canada', 'GPE'), ('Australia', 'GPE')]"
"After the French withdrawal from its former colony, on 21 July 1954, Vietnam became partitioned into two halves, much like South Korea, along the 17th parallel.","[('Vietnam', 'GPE')]"
"The United States provided aid to South Vietnam 199  and contributed to propaganda efforts against the North, 200  but was not directly involved until the Gulf of Tonkin Resolution, passed in reaction to a supposed North Vietnamese attack upon American destroyers, brought the U.S. into the war as a belligerent.","[('Vietnam', 'GPE')]"
"The plan went awry, with Nixon  deliberately sabotaging peace talks for political gain, 204  and the war spilled into neighboring Cambodia while South Vietnamese forces were pushed further back.","[('Cambodia', 'GPE')]"
"Saigon was captured on 30 April 1975, and Vietnam was unified under Communist rule a year later, effectively bringing an end to one of the most unpopular wars of all time.","[('Vietnam', 'GPE')]"
"Cuba, under Fidel Castro s socialist government, had formed close ties with the Russia.","[('Cuba', 'GPE'), ('Russia', 'GPE')]"
"This was obviously disquieting to the United States, given Cuba s proximity.","[('Cuba', 'GPE')]"
"When Lockheed U-2 spy plane flights over the island revealed that Soviet missile launchers were being installed, U.S. President John F. Kennedy instituted a naval blockade and publicly confronted the Russia.","[('Russia', 'GPE')]"
"After a tense week, the Russia backed down and ordered the launchers removed, not wanting to risk igniting a new world war.","[('Russia', 'GPE')]"
"Main article  Space Race
With Cold War tensions running high, the Russia and United States took their rivalry to the stars in 1957 with the Soviet launch of Sputnik. 212  A  space race  between the two powers followed.","[('Russia', 'GPE'), ('United States', 'GPE')]"
"213  The Russia reached several important milestones, such as the first craft on the Moon (Luna 2) 214  and the first human in space (Yuri Gagarin).","[('Russia', 'GPE')]"
"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada.","[('Russia', 'GPE'), ('Japan', 'GPE'), ('Canada', 'GPE')]"
"By the 1980s, the Russia was weakening.","[('Russia', 'GPE')]"
"The Sino-Soviet split had removed the Russia s most powerful ally, the People s Taiwan.","[('Russia', 'GPE')]"
"Mikhail Gorbachev, its last leader, attempted to reform the country with glasnost and perestroika, 226  but the formation of Solidarity, 227  the fall of the Berlin Wall, 228  and the breaking-off of several Soviet republics, such as Lithuania, 229  started a slippery slope of events that culminated in a coup to overthrow Gorbachev, organized by Communist Party hard-liners.","[('Lithuania', 'GPE')]"
"Boris Yeltsin, president of Russia, organized mass opposition, and the coup failed.","[('Russia', 'GPE')]"
"230  On 26 December 1991, the Russia was officially disbanded into its constituent republics, thus putting a final line under the already exhausted Cold War.","[('Russia', 'GPE')]"
"China, an ancient nation comprising a fifth of the world s population, was finally open to the world in a new and powerful synthesis of West and East, creating a new state after the near-complete destruction of the old cultural order.  ","[('China', 'GPE')]"
"The influence of China and India was also rising, as the world s largest populations, long marginalized by the West and by their rulers, were rapidly integrating with the world economy.","[('China', 'GPE'), ('India', 'GPE')]"
Crumbling of Empires and Emerging States  Czech Republic and Serbia as (Multi)national Countries   International Encyclopedia of the First World War (WW1) .,"[('Serbia', 'GPE')]"
The Foreign Communist Experience in Stalin s Russia  A Course in Disillusionment .,"[('Russia', 'GPE')]"
Hitler announces an Anschluss with Austria .,"[('Austria', 'GPE')]"
Winter War  Russia Invades Finland .,"[('Russia', 'GPE'), ('Finland', 'GPE')]"
Why Finland allied itself with Nazi Germany   Letter .,"[('Finland', 'GPE'), ('Germany', 'GPE')]"
Germany s Invasion of Denmark and Norway .,"[('Denmark', 'GPE'), ('Norway', 'GPE')]"
France to surrender .,"[('France', 'GPE')]"
Italy a burden on Hitler in World War II - World - Dunya News .,"[('Italy', 'GPE')]"
Italy Tried to Invade Greece in World War II.,"[('Greece', 'GPE')]"
The Stuka Terror  Germany s shrieking Ju 87 dive bomber lingered in the mind as a truly dreaded air weapon .,"[('Germany', 'GPE')]"
Rise And Fall Of The Third Reich  A History of Nazi Germany.,"[('Germany', 'GPE')]"
Germany s Sixth Army in Stalingrad in World War II .,"[('Germany', 'GPE')]"
Germany declares war on the United States .,"[('Germany', 'GPE')]"
75 Years Ago  The US Invasion of Italy .,"[('Italy', 'GPE')]"
"Retrieved 12 December 2018.

   1943  Italy s surrender announced .","[('Italy', 'GPE')]"
"The Problem of Sovereignty  China, 1932-1937 .","[('China', 'GPE')]"
"The Avalon Project  Summary of the Three-Power Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940 .","[('Italy', 'GPE'), ('Japan', 'GPE')]"
The Forgotten Reason Why Japan Attacked Pearl Harbor .,"[('Japan', 'GPE')]"
The United States declares war on Japan .,"[('Japan', 'GPE')]"
From the Jaws of Death  MacArthur s Escape from the Philippines .,"[('Philippines', 'GPE')]"
"Hirohito accepts Japan s surrender terms, Aug. 14, 1945 .","[('Japan', 'GPE')]"
"PMID 21731859.

  Gutman, Israel (1990).","[('Israel', 'GPE')]"
Major milestones of Iran s nuclear programme   Iran   Al Jazeera .,"[('Iran', 'GPE'), ('Iran', 'GPE')]"
The Russia after 1945  Economic Recovery and Political Repression .,"[('Russia', 'GPE')]"
The division of Germany - The Cold War (1945 1989) - CVCE Website .,"[('Germany', 'GPE')]"
The forgotten violence that helped India break free from colonial rule .,"[('India', 'GPE')]"
Indian Independence Day  everything you need to know about Partition between India and Pakistan 70 years on .,"[('Pakistan', 'GPE')]"
"The Philippines, 1898 1946   US House of Representatives  History, Art   Archives .","[('Philippines', 'GPE')]"
"Colonial Cartographies, Postcolonial Borders, and Enduring Failures of International Law  The Unending War along the Afghanistan-Pakistan Frontier .","[('Afghanistan', 'GPE')]"
The Incorporation of the Baltic States by the Russia .,"[('Russia', 'GPE')]"
"The Moldovans  Romania, Russia, and the Politics of Culture.","[('Romania', 'GPE'), ('Russia', 'GPE')]"
Selling  Operation Passage to Freedom   Dr. Thomas Dooley and the Religious Overtones of Early American Involvement in Vietnam .,"[('Vietnam', 'GPE')]"
"Stuck in Endless Preliminaries  Vietnam and the Battle of the Paris Peace Table, November 1968-January 1969 .","[('Vietnam', 'GPE')]"
Russia Launches Sputnik .,"[('Russia', 'GPE')]"
The forgotten story of how the Baltic states brought down the Russia .,"[('Russia', 'GPE')]"
Anti-American Behavior in the Middle East  Evidence from a Field Experiment in Lebanon .,"[('Lebanon', 'GPE')]"
The Rise of China and India  A New Asian Drama.,"[('India', 'GPE')]"
Singapore  World Scientific.,"[('Singapore', 'GPE')]"
